"","X","Pub.Date","Top.Stories","URL","Entity.MP","Entity.Province","Entity.Infrastructure","Entity.Healthcare","Entity.Police","Entity.Education","Entity.Politics","Entity.Extractive.Industry","Entity.Agriculture.Livestock","Entity.Defence","Entity.Tourism"
"1",1,"June 23, 2023","New amendments to clamp down on kidnapping and other crimes","https://www.postcourier.com.pg/new-amendments-to-clamp-down-on-kidnapping-and-other-crimes/","David",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"2",2,"June 23, 2023","Kaupa welcomes court ruling","https://www.postcourier.com.pg/kaupa-welcomes-court-ruling/","Kaupa",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"3",3,"June 23, 2023","Police, PNGDF unit attacked in Hela","https://www.postcourier.com.pg/police-pngdf-unit-attacked-in-hela/","Joseph",NA,NA,NA,"Police",NA,NA,NA,NA,"soldiers",NA
"4",4,"June 23, 2023","Jayrex to take legal action if ban is not uplifted","https://www.postcourier.com.pg/jayrex-to-take-legalaction-if-ban-is-not-uplifted/","Jason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"June 23, 2023","Parkop seeks assistance from Guangdong, China","https://www.postcourier.com.pg/parkop-seeks-assistance-from-guangdong-china/","Not","National Capital District",NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"6",6,"June 23, 2023","Dr Liko: Panadol available, but no storage space","https://www.postcourier.com.pg/dr-liko-panadol-available-but-no-storage-space/",NA,NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"7",7,"June 23, 2023","Opposition to challenge DCA and Ship Rider agreement","https://www.postcourier.com.pg/opposition-to-challenge-dca-and-ship-rider-agreement/","Lelang",NA,NA,NA,NA,NA,"Politics",NA,NA,"Defence",NA
"8",8,"June 23, 2023","Front and Back Page","https://www.postcourier.com.pg/front-and-back-page-320/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"June 22, 2023","Officers using drugs will be arrested and charged: Wagambie","https://www.postcourier.com.pg/officers-using-drugs-will-be-arrested-and-charged-wagambie/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"June 22, 2023","New road meets high standards","https://www.postcourier.com.pg/new-road-meets-high-standards/","James",NA,"Road",NA,NA,NA,"Politics",NA,NA,NA,NA
"11",11,"June 22, 2023","Unitech graduates 41","https://www.postcourier.com.pg/unitech-graduates-41/","Garry","Morobe",NA,NA,NA,"Tertiary Institution",NA,NA,NA,NA,NA
"12",12,"June 22, 2023","Funding for NCD hospital set","https://www.postcourier.com.pg/funding-for-ncd-hospital-set/","Parkop","National Capital District",NA,"Hospital",NA,NA,NA,NA,NA,NA,NA
"13",13,"June 22, 2023","Popular artist rallies against Jayrex ban","https://www.postcourier.com.pg/popular-artist-rallies-against-jayrex-ban/","Jason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"June 22, 2023","F35 Lightning II jets brief stop over in POM","https://www.postcourier.com.pg/f35-lightning-ii-jets-brief-stop-over-in-pom/","Joseph",NA,NA,NA,NA,NA,NA,NA,NA,"PNGDF",NA
"15",15,"June 22, 2023","Convention centre sits idle","https://www.postcourier.com.pg/convention-centre-sits-idle/","Tkatchenko",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"16",16,"June 22, 2023","Front and Back Page","https://www.postcourier.com.pg/front-and-back-page-319/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"June 21, 2023","Censorship office place temporary ban on Jayrex music","https://www.postcourier.com.pg/censorship-office-place-temporary-ban-on-jayrex-music/","Jason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"June 21, 2023","Finschhafen district upskills workforce","https://www.postcourier.com.pg/finschhafen-district-upskills-workforce/","Wenge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"June 21, 2023","No more adjournments!","https://www.postcourier.com.pg/no-more-adjournments/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"June 21, 2023","Ongloâ€™s lawyer alleges use of delay tactics","https://www.postcourier.com.pg/onglos-lawyer-alleges-use-of-delay-tactics/","Dilu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"June 21, 2023","Goroka hosts flower show","https://www.postcourier.com.pg/goroka-hosts-flower-show/","Sia","Eastern Highlands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"June 21, 2023","K4 million to complete Mendi Airport rehab","https://www.postcourier.com.pg/k4-million-to-complete-mendi-airport-rehab/","Powi",NA,"Airport",NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"June 21, 2023","Magistrate to Oâ€™Neill: Innocent until proven guilty","https://www.postcourier.com.pg/magistrate-to-oneill-innocent-until-proven-guilty/","Joseph",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"24",24,"June 21, 2023","Front and Back Page","https://www.postcourier.com.pg/front-and-back-page-318/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"June 20, 2023","School turns down Patrickâ€™s offer","https://www.postcourier.com.pg/school-turns-down-patricks-offer/","Patrick",NA,NA,NA,NA,"School",NA,NA,NA,NA,NA
"26",26,"June 20, 2023","K117 million road launched","https://www.postcourier.com.pg/k117-million-road-launched/","Marape",NA,"Road",NA,NA,NA,"Politics",NA,NA,NA,NA
"27",27,"June 20, 2023","Itâ€™s fish for dinner at Buimo jail","https://www.postcourier.com.pg/its-fish-for-dinner-at-buimo-jail/","Rosso",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"28",28,"June 20, 2023","Pirates clean up city mess","https://www.postcourier.com.pg/pirates-clean-up-city-mess/","Steven",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"June 20, 2023","DWU Alumni comes to aid of Braun hospital","https://www.postcourier.com.pg/dwu-alumni-comes-to-aid-of-braun-hospital/","Jason",NA,NA,"Hospital",NA,NA,NA,NA,NA,NA,NA
"30",30,"June 20, 2023","Ombudsman Commission intervenes on city roads","https://www.postcourier.com.pg/ombudsman-commission-intervenes-on-city-roads/",NA,NA,"Road",NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"June 20, 2023","NIO probes security breach within Waigani","https://www.postcourier.com.pg/nio-probes-security-breach-within-waigani/","David",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"32",32,"June 20, 2023","Front and Back Page","https://www.postcourier.com.pg/front-and-back-page-317/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"June 19, 2023","Sir Kostas kept thousands employed through his businesses","https://www.postcourier.com.pg/sir-kostas-kept-thousands-employed-through-his-businesses/","Sir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"June 19, 2023","Polyeâ€™s Pangu move timely","https://www.postcourier.com.pg/polyes-pangu-move-timely/","Polye",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"35",35,"June 19, 2023","Duma: No room for political interference","https://www.postcourier.com.pg/duma-no-room-for-political-interference/","Duma",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"36",36,"June 19, 2023","Social Democratic Party reaffirms support for Marape","https://www.postcourier.com.pg/social-democratic-party-reaffirms-support-for-marape/","Joseph",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"37",37,"June 19, 2023","Morobe funds e-Library in schools","https://www.postcourier.com.pg/morobe-funds-e-library-in-schools/",NA,"Morobe",NA,NA,NA,"School","Politics",NA,NA,NA,NA
"38",38,"June 19, 2023","Coroner inquest findings stalled due to black out","https://www.postcourier.com.pg/coroner-inquest-findings-stalled-due-to-black-out/","Sir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"June 19, 2023","Bando challenges petitionâ€™s competency","https://www.postcourier.com.pg/bando-challenges-petitions-competency/","Bando",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"40",40,"June 19, 2023","Marape details Defence pact with US","https://www.postcourier.com.pg/marape-details-defence-pact-with-us/","Marape",NA,NA,NA,NA,NA,"Politics",NA,NA,"military",NA
"41",41,"June 19, 2023","Boship guilty of murder","https://www.postcourier.com.pg/boship-guilty-of-murder/","Kaiwi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"June 19, 2023","Front and Back Page","https://www.postcourier.com.pg/front-and-back-page-316/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"June 15, 2023","Kaiwi found guilty","https://www.postcourier.com.pg/kaiwi-found-guilty/","Kaiwi",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"44",44,"June 15, 2023","Oâ€™Neill says agreement threatens sovereignty","https://www.postcourier.com.pg/oneill-says-agreement-threatens-sovereignty/","Wenge",NA,NA,NA,NA,NA,"Politics",NA,NA,"Army",NA
"45",45,"June 15, 2023","Road accident response vital","https://www.postcourier.com.pg/road-accident-response-vital/",NA,NA,"Road",NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"June 15, 2023","Potholes contribute to road crime in city","https://www.postcourier.com.pg/potholes-contribute-to-road-crime-in-city/","Not",NA,"Road",NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"June 15, 2023","Development in city surprises Minister","https://www.postcourier.com.pg/development-in-city-surprises-minister/","Rosso",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"48",48,"June 15, 2023","Mori to face trial on corruption charges","https://www.postcourier.com.pg/mori-to-face-trial-on-corruption-charges/",NA,NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"49",49,"June 15, 2023","Teachers flee from armed men","https://www.postcourier.com.pg/teachers-flee-from-armed-men1/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"June 15, 2023","MPs question signing of US-PNG defence agreement","https://www.postcourier.com.pg/mps-question-signing-of-us-png-defence-agreement/","Luther",NA,NA,NA,NA,NA,"Politics",NA,NA,"Defence",NA
"51",51,"June 15, 2023","Front and Back Page","https://www.postcourier.com.pg/front-and-back-page-315/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"June 14, 2023","New website aims to monitor DDAâ€™s","https://www.postcourier.com.pg/new-website-aims-to-monitor-ddas/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"June 14, 2023","Kakas calls for support","https://www.postcourier.com.pg/kakas-calls-for-support/","Peter",NA,NA,NA,NA,NA,NA,NA,NA,"military",NA
"54",54,"June 14, 2023","K50m for Wafi-Golpu opening, says Rosso","https://www.postcourier.com.pg/k50m-for-wafi-golpuopening-says-rosso/","Wenge",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"55",55,"June 14, 2023","Makiba proposal to Bougainville in Parliament","https://www.postcourier.com.pg/makiba-proposal-to-bougainville-in-parliament/","Makiba","Autonomous Region of Bougainville",NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"56",56,"June 14, 2023","Police commences investigation into allegations of fraud","https://www.postcourier.com.pg/police-commences-investigation-into-allegations-of-fraud/","Don",NA,NA,NA,"Police",NA,"Politics",NA,NA,NA,NA
"57",57,"June 14, 2023","Hagahuno and Tuke on security cost","https://www.postcourier.com.pg/hagahuno-and-tuke-on-security-cost/","Johnson",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"58",58,"June 14, 2023","House to decide on referendum results","https://www.postcourier.com.pg/house-to-decide-on-referendum-results/","Makiba",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"59",59,"June 14, 2023","28 Indonesians caught illegally fishing in PNG waters","https://www.postcourier.com.pg/28-indonesians-caught-illegally-fishing-in-png-waters/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Defence",NA
"60",60,"June 14, 2023","Labour ward is full","https://www.postcourier.com.pg/labour-ward-is-full/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,"June 14, 2023","Front and Back Page","https://www.postcourier.com.pg/front-and-back-page-314/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"June 13, 2023","Manning says crowd funded to disrupt process of justice","https://www.postcourier.com.pg/manning-says-crowd-funded-to-disrupt-process-of-justice/","Peter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,"June 13, 2023","Manning on Oâ€™Neill arrest","https://www.postcourier.com.pg/manning-on-oneill-arrest/","David",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"64",64,"June 13, 2023","Drugs, homebrew fueling lawless Hanuabada, Gabi","https://www.postcourier.com.pg/drugs-homebrew-fueling-lawless-hanuabada-gabi/","Boe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,"June 13, 2023","Hundreds turn up in support of Oâ€™Neill","https://www.postcourier.com.pg/hundreds-turn-up-in-support-of-oneill/","David",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"66",66,"June 13, 2023","Students give up weapons for peace","https://www.postcourier.com.pg/students-give-up-weapons-for-peace/","Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"June 13, 2023","Governor: Action debate issues","https://www.postcourier.com.pg/governor-action-debate-issues/","Juffa",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"68",68,"June 13, 2023","Oâ€™Neill charged","https://www.postcourier.com.pg/oneill-charged/","David",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"69",69,"June 13, 2023","House picks MPs for citizenship committee","https://www.postcourier.com.pg/house-picks-mps-for-citizenship-committee/","Opa",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"70",70,"June 13, 2023","Public holiday delays Wanzing decision again","https://www.postcourier.com.pg/public-holiday-delays-wanzing-decision-again/","Tom",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"71",71,"June 13, 2023","Correctional Service training to start in August","https://www.postcourier.com.pg/correctional-service-training-to-start-in-august/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"June 13, 2023","Supreme Court stays disclosure of gold deal","https://www.postcourier.com.pg/supreme-court-stays-disclosure-of-gold-deal/","Marape",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"73",73,"June 13, 2023","Front and Back Page","https://www.postcourier.com.pg/front-and-back-page-313/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"June 12, 2023","Oâ€™Neill walks out of Boroko","https://www.postcourier.com.pg/oneill-walks-out-of-boroko/","Henry",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"75",75,"June 12, 2023","Oâ€™Neill: I will go in","https://www.postcourier.com.pg/oneill-i-will-go-in/","Peter",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"76",76,"June 12, 2023","Oâ€™Neill charged with three counts of giving false evidence","https://www.postcourier.com.pg/oneill-charged-with-three-counts-of-giving-false-evidence/","Peter",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"77",77,"June 12, 2023","Loifa applauds govt, highlights need for standards","https://www.postcourier.com.pg/loifa-applauds-govt-highlights-need-for-standards/","Loifa",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"78",78,"June 12, 2023","Mainland Holdings visits Angau children","https://www.postcourier.com.pg/mainland-holdings-visits-angau-children/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"June 12, 2023","Villages affected by environmental impact of mine","https://www.postcourier.com.pg/villages-affected-by-environmental-impact-of-mine/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"June 12, 2023","PNGDF officers in Wisconsin","https://www.postcourier.com.pg/pngdf-officers-in-wisconsin/","Job",NA,NA,NA,NA,NA,NA,NA,NA,"PNGDF",NA
"81",81,"June 12, 2023","License holder calls for settlement of alluvial lease","https://www.postcourier.com.pg/license-holder-calls-forsettlement-of-alluvial-lease/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,"June 12, 2023","School suspended indefinitely","https://www.postcourier.com.pg/school-suspended-indefinitely/","Temu",NA,NA,NA,NA,"School",NA,NA,NA,NA,NA
"83",83,"June 12, 2023","Landowners shocked by 16 ghost clans","https://www.postcourier.com.pg/landowners-shocked-by-16-ghost-clans/","David",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"84",84,"June 12, 2023","Health facilities to do online procurement of drugs","https://www.postcourier.com.pg/health-facilities-to-do-online-procurement-of-drugs/","Gabriel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,"June 12, 2023","Total Energies keen on UOT partnership","https://www.postcourier.com.pg/total-energies-keen-on-uot-partnership/","Richard",NA,NA,NA,NA,"Tertiary Institution",NA,NA,NA,NA,NA
"86",86,"June 12, 2023","Isoaimo calls for regulation of production, sale of homebrew","https://www.postcourier.com.pg/isoaimo-calls-for-regulation-of-production-sale-of-homebrew/","Parkop",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"87",87,"June 12, 2023","Marape provides update on banking sector","https://www.postcourier.com.pg/marape-provides-update-on-banking-sector/","Marape",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"88",88,"June 12, 2023","Rehab of PNGDF is now in progress: Marape","https://www.postcourier.com.pg/rehab-of-pngdf-is-now-in-progress-marape/","Marape",NA,NA,NA,NA,NA,"Politics",NA,NA,"soldiers",NA
"89",89,"June 12, 2023","STEM must be taught at an early stage: Kopkop","https://www.postcourier.com.pg/stem-must-be-taught-at-an-early-stage-kopkop/","Polye",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"90",90,"June 12, 2023","Ministry help Kundis community fund aid post","https://www.postcourier.com.pg/ministry-help-kundis-community-fund-aid-post/","Henry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,"June 12, 2023","Front and Back Page","https://www.postcourier.com.pg/front-and-back-page-312/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,"June 9, 2023","Fr Jan: Funding a challenge","https://www.postcourier.com.pg/fr-jan-funding-a-challenge/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,"June 9, 2023","Appoint board members on merit: Dr Tom","https://www.postcourier.com.pg/appoint-board-members-on-merit-dr-tom/","Tom",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"94",94,"June 9, 2023","Police lack accountability, governance","https://www.postcourier.com.pg/police-lack-accountability-governance/","David",NA,NA,NA,"Police",NA,NA,NA,NA,NA,NA
"95",95,"June 9, 2023","Official: Late Archbishop Hesse touched lives of many","https://www.postcourier.com.pg/official-late-archbishop-hesse-touched-lives-of-many/","John",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"June 9, 2023","Rangeview begins anniversary withK30,000 promo","https://www.postcourier.com.pg/rangeview-beginsanniversary-withk300000-promo/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,"June 9, 2023","Amuli down but not out","https://www.postcourier.com.pg/amuli-down-but-not-out/","Amuli","Northern",NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"98",98,"June 9, 2023","Parliament passes Ombudsman bill","https://www.postcourier.com.pg/parliament-passes-ombudsman-bill/","Kua",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"99",99,"June 9, 2023","Polye urges community to turn in suspect","https://www.postcourier.com.pg/polye-urges-community-to-turn-in-suspect/","Polye",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"100",100,"June 9, 2023","NO Public Holiday on Monday","https://www.postcourier.com.pg/no-public-holiday-on-monday/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"June 8, 2023","20 MPs walk out as Tkatchenko apologises","https://www.postcourier.com.pg/20-mps-walk-out-as-tkatchenko-apologises/","Tkatchenko",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"102",102,"June 8, 2023","â€˜If you want water, pay for itâ€™","https://www.postcourier.com.pg/if-you-want-water-pay-for-it/","Thomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,"June 8, 2023","Morobe Governor praises government for connecting people and country","https://www.postcourier.com.pg/morobe-governor-praises-government-for-connecting-people-and-country/","Wenge","Morobe",NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"104",104,"June 8, 2023","K500 million to upgrade airports","https://www.postcourier.com.pg/k500-million-to-upgrade-airports/","Schnaubelt",NA,"Airport",NA,NA,NA,"Politics",NA,NA,NA,NA
"105",105,"June 8, 2023","Govt legal team to go to court on Cabinet process","https://www.postcourier.com.pg/govt-legal-team-to-go-to-court-on-cabinet-process/","Marape",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"106",106,"June 8, 2023","Millions still unaccounted","https://www.postcourier.com.pg/millions-still-unaccounted/","Eoe",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"107",107,"June 8, 2023","No update on alcohol tax","https://www.postcourier.com.pg/no-update-on-alcohol-tax/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,"June 8, 2023","Police respond to TikTok video","https://www.postcourier.com.pg/police-respond-to-tiktok-video/","David",NA,NA,NA,"Police",NA,NA,NA,NA,NA,NA
"109",109,"June 8, 2023","Front and Back Page","https://www.postcourier.com.pg/front-and-back-page-309/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",110,"June 7, 2023","PM to Wenge: Tkatchenko did not mean all of PNG","https://www.postcourier.com.pg/pm-to-wenge-tkatchenko-did-not-mean-all-of-png/","Tkatchenko",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"111",111,"June 7, 2023","Wenge joins Pangu Pati","https://www.postcourier.com.pg/wenge-joins-pangu-pati/","Wenge",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"112",112,"June 7, 2023","PM defends Defence Cooperation Agreement","https://www.postcourier.com.pg/pm-defends-defence-cooperation-agreement/","Marape",NA,NA,NA,NA,NA,"Politics",NA,NA,"Defence",NA
"113",113,"June 7, 2023","Tkatchenko: I will make my statement to Parlt","https://www.postcourier.com.pg/tkatchenko-i-will-make-my-statement-to-parlt/","Tkatchenko",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"114",114,"June 7, 2023","Cab driver attacked, city at standstill","https://www.postcourier.com.pg/cab-driver-attackedcity-at-standstill/","Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,"June 7, 2023","Moresby North East, Hela petitions set for trial","https://www.postcourier.com.pg/moresby-north-east-hela-petitions-setfor-trial/","Peter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",116,"June 7, 2023","CEPA to enforce regulation on use of plastic","https://www.postcourier.com.pg/cepa-to-enforce-regulation-on-use-of-plastic/","Kilepa",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"117",117,"June 7, 2023","Many query Mondayâ€™s public holiday","https://www.postcourier.com.pg/many-querymondayspublic-holiday/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,"June 7, 2023","Three expats attacked within 48 hours","https://www.postcourier.com.pg/three-expats-attacked-within-48-hours/","Joseph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",119,"June 6, 2023","Parliament in blackout","https://www.postcourier.com.pg/parliament-in-blackout/","Marape",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"120",120,"June 6, 2023","10 groups uncovered dealing in child porn in PNG","https://www.postcourier.com.pg/10-groups-uncovered-dealing-in-child-pornin-png/","Simon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,"June 6, 2023","Sidelined minister walks into parliament","https://www.postcourier.com.pg/sidelined-minister-walks-into-parliament0/","Tkatchenko",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"122",122,"June 6, 2023","MPs urged to look into road problems in Aroma","https://www.postcourier.com.pg/mps-urged-to-look-intoroad-problems-in-aroma/","Peter",NA,"Road",NA,NA,NA,"Politics",NA,NA,NA,NA
"123",123,"June 6, 2023","Rains cause landslide, families devastated","https://www.postcourier.com.pg/rains-cause-landslide-families-devastated/","Henry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,"June 6, 2023","Morobe government swears in 17 new board members","https://www.postcourier.com.pg/morobe-government-swearsin-17-new-board-members/","Wenge","Morobe",NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"125",125,"June 6, 2023","Unitech farm to supply 8000 chickens monthly","https://www.postcourier.com.pg/unitech-farm-to-supply-8000-chickens-monthly/","Joseph","Morobe",NA,NA,NA,"Tertiary Institution",NA,NA,NA,NA,NA
"126",126,"June 6, 2023","Governorâ€™s Conference underway in POM","https://www.postcourier.com.pg/governors-conference-underway-in-pom/","Marape",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"127",127,"June 6, 2023","PNG is 63rd country for bank to open in","https://www.postcourier.com.pg/png-is-63rd-country-for-bank-to-open-in/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,"June 6, 2023","No protest against JT, says Manning","https://www.postcourier.com.pg/no-protest-againstjt-saysmanning/","Tkatchenko",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"129",129,"June 5, 2023","PNG high on the cards for NRL expansion, says Aust rugby league boss","https://www.postcourier.com.pg/png-high-on-the-cards-for-nrl-expansion-says-aust-rugby-league-boss/","Not",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"130",130,"June 5, 2023","Bid to heal Kabagap rift","https://www.postcourier.com.pg/bid-to-heal-kabagap-rift/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,"June 5, 2023","Parliamentary committee visits EHP health authority","https://www.postcourier.com.pg/parliamentary-committee-visits-ehp-health-authority/","Sia","Eastern Highlands",NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"132",132,"June 5, 2023","Kerevat inmates join clean-up","https://www.postcourier.com.pg/kerevat-inmates-join-clean-up/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",133,"June 5, 2023","Japan must abort nuclear waste disposal plan, says MP","https://www.postcourier.com.pg/japan-must-abort-nuclear-waste-disposal-plan-says-mp/","Dilu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,"June 5, 2023","Post-Courier joins city clean up","https://www.postcourier.com.pg/post-courier-joins-city-clean-up/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",135,"June 5, 2023","Roo: Officers to take on proactive role","https://www.postcourier.com.pg/roo-officers-to-take-on-proactive-role/","John",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",136,"June 5, 2023","PM: Show your proof!","https://www.postcourier.com.pg/pm-show-your-proof/","Marape",NA,NA,NA,NA,NA,"Politics",NA,NA,"Defence",NA
"137",137,"June 5, 2023","Goroka to host first ever flower show","https://www.postcourier.com.pg/goroka-to-host-first-ever-flower-show/","Simon","Eastern Highlands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",138,"June 5, 2023","Yaom, appeals for help to remove ugly lumps on shoulder, under armpit","https://www.postcourier.com.pg/yaom-appeals-for-help-to-remove-ugly-lumps-on-shoulder-under-armpit/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",139,"June 5, 2023","10-yr-old beaten to death by step mum","https://www.postcourier.com.pg/10-yr-old-beaten-to-death-by-step-mum/","Sawang",NA,NA,NA,NA,NA,NA,NA,NA,"military",NA
"140",140,"June 5, 2023","Technical colleges get K203 million","https://www.postcourier.com.pg/technical-colleges-get-k203-million/","Don",NA,NA,NA,NA,NA,"Politics",NA,NA,NA,NA
"141",141,"June 2, 2023","Boys urged to share responsibilities","https://www.postcourier.com.pg/boys-urged-to-share-responsibilities/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
